last_update: 2021/07/19-12:43:10
acceptance_rate: 0.9
time_intervals: 10
min_valid_accepted_interval: 10
2015/10/05-11:20:00,2015/10/05-11:30:00
2020/11/17-15:10:00,2020/11/17-15:20:00
2020/11/18-07:40:00,2020/11/18-07:50:00
2020/11/19-09:00:00,2020/11/19-09:10:00
2020/11/25-13:50:00,2020/11/25-14:00:00
2020/11/26-07:50:00,2020/11/26-08:00:00
2020/12/10-10:20:00,2020/12/10-10:30:00
2020/12/10-13:20:00,2020/12/10-13:30:00
2020/12/15-11:10:00,2020/12/15-11:20:00
2020/12/19-17:50:00,2020/12/19-18:00:00
2020/12/28-09:10:00,2020/12/28-09:20:00
2020/12/28-14:50:00,2020/12/28-15:00:00
2021/01/28-08:40:00,2021/01/28-08:50:00
